px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.74933	-7.17274	-3.05827	-2.62012	-0.530784	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.078401
6.78902	-7.04101	-2.11023	-2.55284	-0.390551	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	92.1806
6.88386	-6.97503	-2.10923	-2.57323	-0.389911	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.129929
7.03667	-6.87842	-2.85918	-2.59196	-0.385544	7.08741	-6.92602	7	-6.85	2.72856	1.81904	10.6126
7.16872	-6.79476	-2.86086	-2.61172	-0.384575	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.218498
7.2535	-6.64866	-2.60776	-2.54267	-0.254751	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	64.7187
7.37103	-6.56759	-2.60586	-2.55612	-0.254429	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.0333811
7.53475	-6.53466	-3.00003	-2.63768	-0.354396	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	49.506
7.66618	-6.46298	-2.9987	-2.6552	-0.354291	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.00972411
7.76212	-6.41616	-2.26667	-2.67646	-0.356535	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	10.8715
7.87265	-6.36024	-2.26357	-2.69558	-0.356299	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.0465217
8.00925	-6.26893	-2.6476	-2.68528	-0.313101	8.03231	-6.28406	8	-6.25	2.72931	1.81954	13.3721
8.13759	-6.2034	-2.65103	-2.70117	-0.312185	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.345772
8.23966	-6.04371	-2.91632	-2.60428	-0.152578	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	107.781
8.36234	-5.96746	-2.914	-2.61084	-0.151951	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.122783
8.52966	-5.91001	-3.13017	-2.65717	-0.20683	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	12.5128
8.68213	-5.83088	-3.12463	-2.66865	-0.207028	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.158615
8.75592	-5.73489	-2.266	-2.62229	-0.122779	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	39.5927
8.86238	-5.67201	-2.26668	-2.62835	-0.122374	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.0976597
8.96344	-5.56935	-2.45639	-2.58629	-0.0506838	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	33.036
9.06478	-5.50242	-2.45743	-2.58765	-0.0499408	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.270486
9.23673	-5.41221	-3.28136	-2.60952	-0.0794133	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	18.7263
9.38883	-5.31915	-3.27387	-2.61285	-0.0788576	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.237658
9.44559	-5.2448	-2.05284	-2.57648	-0.0183027	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	38.5206
9.53996	-5.1835	-2.05837	-2.577	-0.0178996	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.286237
9.63865	-5.09104	-2.154	-2.54409	0.0332455	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	18.653
9.73475	-5.02288	-2.16462	-2.54139	0.0339986	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.904778
9.85934	-4.84811	-2.9441	-2.4511	0.162923	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	105.862
9.9816	-4.74329	-2.94067	-2.44141	0.163384	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.0691051
10.0604	-4.57765	-2.91681	-2.34856	0.284282	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	46.9628
10.1691	-4.4614	-2.91429	-2.33205	0.284858	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.0881281
10.2641	-4.29574	-3.14246	-2.26724	0.356372	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	19.9036
10.3729	-4.16179	-3.14119	-2.24741	0.356503	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.00806633
10.4998	-4.08127	-2.84789	-2.27999	0.280279	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	22.8673
10.5952	-3.95958	-2.84252	-2.26289	0.28127	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.341959
10.6925	-3.84531	-2.77592	-2.25079	0.276349	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.194363
10.7858	-3.72564	-2.76995	-2.23521	0.27651	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.121456
10.8167	-3.61457	-2.13606	-2.17289	0.347145	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	30.4137
10.8782	-3.51556	-2.14046	-2.15248	0.348016	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0.375193
11.016	-3.3268	-3.67915	-2.14904	0.326658	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928	51.6728
